TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,IceLense,TopTime,MidTime,BotTime
6.13,6.258,6.386,-27.5,-212.4,0,2020.4432132964,2020.40775623269,2020.37229916898
6.386,6.511,6.636,-23.1,-179.2,0,2020.37229916898,2020.33767313019,2020.30304709141
6.636,6.761,6.886,-28,-218.7,0,2020.30304709141,2020.26842105263,2020.23379501385
6.886,7.009,7.132,-26.3,-204.5,0,2020.23379501385,2020.19972299169,2020.16565096953
7.132,7.257,7.382,-30.2,-234.7,0,2020.16565096953,2020.13102493075,2020.09639889197
7.382,7.507,7.632,-27.6,-213,0,2020.09639889197,2020.06177285319,2020.0271468144
7.632,7.7595,7.887,-31.1,-240,0,2020.0271468144,2019.99260651629,2019.96065162907
7.887,8.0445,8.202,-29.1,-224.6,0,2019.96065162907,2019.92117794486,2019.88170426065
8.202,8.3615,8.521,-25.3,-193.4,0,2019.88170426065,2019.84172932331,2019.80175438596
8.521,8.641,8.761,-23.6,-178.8,0,2019.80175438596,2019.77167919799,2019.74160401002
8.761,8.881,9.001,-29.4,-225.7,0,2019.74160401002,2019.71152882206,2019.68145363409
9.001,9.123,9.245,-25.1,-191.7,0,2019.68145363409,2019.65087719298,2019.62030075188
9.245,9.375,9.505,-26.3,-204.3,0,2019.62030075188,2019.58771929825,2019.55513784461
9.505,9.635,9.765,-24.8,-192.3,0,2019.55513784461,2019.52255639098,2019.48997493734
9.765,9.8945,10.024,-20.5,-159.8,0,2019.48997493734,2019.45751879699,2019.42506265664
10.028,10.03375,10.0395,-23.6,-187.7,1,2019.42406015038,2019.42261904762,2019.42117794486
10.0395,10.23525,10.431,-26.7,-207.3,0,2019.42117794486,2019.37211779449,2019.32305764411
10.431,10.444,10.457,-23.1,-184.4,1,2019.32305764411,2019.31979949875,2019.31654135338
10.457,10.507,10.557,-28,-218.8,0,2019.31654135338,2019.30401002506,2019.29147869674
10.557,10.56175,10.5665,-26,-205.1,1,2019.29147869674,2019.29028822055,2019.28909774436
10.5665,10.67025,10.774,-28.4,-220.7,0,2019.28909774436,2019.2630952381,2019.23709273183
10.774,10.8085,10.843,-26.8,-208.9,0,2019.23709273183,2019.22844611529,2019.21979949875
10.843,10.8545,10.866,-25.9,-202.7,1,2019.21979949875,2019.21691729323,2019.21403508772
10.866,10.9775,11.089,-25.9,-201.3,0,2019.21403508772,2019.18609022556,2019.15814536341
11.089,11.2065,11.324,-30.3,-238.5,0,2019.15814536341,2019.12869674185,2019.0992481203
11.324,11.4535,11.583,-31,-241.1,0,2019.0992481203,2019.06679197995,2019.0343358396
11.583,11.708,11.833,-31.4,-241.5,0,2019.0343358396,2019.0030075188,2018.96895604396
11.833,11.9565,12.08,-29.6,-227.5,0,2018.96895604396,2018.93502747253,2018.9010989011
12.08,12.21,12.34,-29.4,-226.8,0,2018.9010989011,2018.86538461538,2018.82967032967
12.34,12.4675,12.595,-30.4,-234.8,0,2018.82967032967,2018.79464285714,2018.75961538462
12.595,12.72,12.845,-27.8,-215.7,0,2018.75961538462,2018.72527472527,2018.69093406593
12.845,12.9665,13.088,-27.8,-214.4,0,2018.69093406593,2018.65755494505,2018.62417582418
13.088,13.2005,13.313,-25.7,-198.4,0,2018.62417582418,2018.59326923077,2018.56236263736
13.313,13.4255,13.538,-26.9,-209.5,0,2018.56236263736,2018.53145604396,2018.50054945055
13.538,13.6505,13.763,-26.8,-208.6,0,2018.50054945055,2018.46964285714,2018.43873626374
13.763,13.878,13.993,-22.3,-173.4,0,2018.43873626374,2018.40714285714,2018.37554945055
13.993,14.108,14.223,-28.4,-220.6,0,2018.37554945055,2018.34395604396,2018.31236263736
14.223,14.341,14.459,-27.6,-215.7,0,2018.31236263736,2018.27994505495,2018.24752747253
14.459,14.641,14.823,-26.8,-207.8,0,2018.24752747253,2018.19752747253,2018.14752747253
14.823,14.948,15.073,-28.9,-225.1,0,2018.14752747253,2018.11318681319,2018.07884615385
15.073,15.198,15.323,-30,-235.4,0,2018.07884615385,2018.04450549451,2018.01016483516
15.323,15.446,15.569,-30.3,-234.5,0,2018.01016483516,2017.96489795918,2017.91469387755
15.569,15.6865,15.804,-29.2,-227.2,0,2017.91469387755,2017.86673469388,2017.8187755102
15.804,15.9215,16.039,-25.9,-200.6,0,2017.8187755102,2017.77081632653,2017.72285714286
16.039,16.1585,16.278,-24.1,-185.7,0,2017.72285714286,2017.67408163265,2017.62530612245
16.278,16.4235,16.569,-25.6,-199.7,0,2017.62530612245,2017.56591836735,2017.50653061225
16.569,16.7145,16.86,-27.3,-210.5,0,2017.50653061225,2017.44714285714,2017.38775510204
16.86,16.9925,17.125,-25.2,-195.1,0,2017.38775510204,2017.33367346939,2017.27959183673
17.125,17.268,17.411,-22.9,-178.6,0,2017.27959183673,2017.2212244898,2017.16285714286
17.411,17.5315,17.652,-29.9,-233.3,0,2017.16285714286,2017.11367346939,2017.06448979592
17.652,17.772,17.892,-33.2,-260.4,0,2017.06448979592,2017.01551020408,NaN
17.892,18.012,18.132,-31.7,-243,0,NaN,NaN,NaN
18.132,18.2545,18.377,-22.7,-174.6,0,NaN,NaN,NaN
18.377,18.492,18.607,-24.2,-187.6,0,NaN,NaN,NaN
18.607,18.722,18.837,-27.2,-211.4,0,NaN,NaN,NaN
18.837,18.9605,19.084,-25.9,-201.8,0,NaN,NaN,NaN
