TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
9.297229286,9.386882771,9.476536255,-26.8,-207.9,2017.39525832043,2017.36312445484,2017.33099058961
9.476536255,9.580778391,9.685020526,-24.7,-191.6,2017.33099058961,2017.29362781685,2017.25626504444
9.685020526,9.788885569,9.892750613,-23.4,-184.1,2017.25626504444,2017.21903743047,2017.18180981613
9.892750613,9.999500059,10.10624951,-24.4,-190.2,2017.18180981613,2017.14354836595,2017.10528691398
10.10624951,10.21117007,10.31609064,-27.8,-216.3,2017.10528691398,2017.06768097849,2017.03007503943
10.31609064,10.40417414,10.49225764,-30.3,-236.9,2017.03007503943,2016.99881078632,2016.97371577208
10.49225764,10.53562882,10.579,-31,-243.9,2016.97371577208,2016.96135931054,2016.949002849
10.579,10.69792829,10.81685658,-29,-225.4,2016.949002849,2016.9151201453,2016.8812374416
10.81685658,10.93353039,11.05020419,-23.6,-183.2,2016.8812374416,2016.84799703989,2016.81475664103
11.05020419,11.15590938,11.26161457,-22.9,-177.1,2016.81475664103,2016.78464120228,2016.75452576353
11.26161457,11.35954299,11.4574714,-26.6,-206,2016.75452576353,2016.72662592877,2016.69872609687
11.4574714,11.55506828,11.65266516,-26.9,-209.5,2016.69872609687,2016.67092071795,2016.64311533903
11.65266516,11.75135011,11.85003505,-26.1,-203.3,2016.64311533903,2016.61499996866,2016.58688460114
11.85003505,11.94913453,12.048234,-25.1,-195.9,2016.58688460114,2016.55865113105,2016.53041766382
12.048234,12.14650252,12.24477104,-25.7,-203.1,2016.53041766382,2016.50242093447,2016.47442420513
12.24477104,12.33755656,12.43034209,-23.8,-185.5,2016.47442420513,2016.44798958405,2016.42155496011
12.43034209,12.5382015,12.64606092,-22.2,-177.4,2016.42155496011,2016.39082578348,2016.36009660399
12.64606092,12.75497234,12.86388376,-27.5,-213.2,2016.36009660399,2016.3290677094,2016.29803881481
12.86388376,12.96947151,13.07505926,-25.9,-201,2016.29803881481,2016.26795683476,2016.2378748547
13.07505926,13.17952635,13.28399344,-27.3,-213.8,2016.2378748547,2016.208112151,2016.17834944729
13.28399344,13.38248749,13.48098154,-27.7,-216.1,2016.17834944729,2016.15028846439,2016.12222748148
13.48098154,13.58244405,13.68390656,-29.8,-233.4,2016.12222748148,2016.09332078348,2016.06441408547
13.68390656,13.78170597,13.87950539,-29.6,-231.5,2016.06441408547,2016.0365510057,2016.00868792308
13.87950539,13.98155819,14.08361099,-30.5,-237.8,2016.00868792308,2015.97937804323,2015.94996801441
14.08361099,14.17638653,14.26916208,-30.3,-237.2,2015.94996801441,2015.92323154755,2015.89649507781
14.26916208,14.35802069,14.44687931,-29.8,-232.5,2015.89649507781,2015.87088740922,2015.84527973775
14.44687931,14.5527474,14.65861549,-27,-210.7,2015.84527973775,2015.81477020173,2015.78426066571
14.65861549,14.76625813,14.87390077,-27.3,-211.7,2015.78426066571,2015.75323973199,2015.72221879827
14.87390077,14.97652931,15.07915786,-25,-193.3,2015.72221879827,2015.69264285014,2015.66306689914
15.07915786,15.18598759,15.29281732,-21.6,-164.8,2015.66306689914,2015.63228023343,2015.60149356772
15.29281732,15.39819601,15.5035747,-27.8,-213.3,2015.60149356772,2015.57112506916,2015.54075657061
15.5035747,15.60626976,15.70896482,-26.8,-207.1,2015.54075657061,2015.51116145245,2015.48156633429
15.70896482,15.81298241,15.917,-27.2,-211.7,2015.48156633429,2015.45159008357,2015.42161383285
15.917,16.01375894,16.11051788,-22.5,-178.4,2015.42161383285,2015.3937294121,2015.36584499135
16.11051788,16.21695104,16.32338419,-25.7,-202.9,2015.36584499135,2015.33517261095,2015.30450023343
16.32338419,16.36919209,16.415,-23.3,-182.9,2015.30450023343,2015.29129910951,2015.27809798271
16.415,16.54751198,16.68002395,-23.8,-188,2015.27809798271,2015.23991009222,2015.20172220461
16.68002395,16.7895545,16.89908504,-26.3,-208.1,2015.20172220461,2015.17015720461,2015.13859220749
16.89908504,17.01337711,17.12766917,-26.7,-208.2,2015.13859220749,2015.10565501153,2015.07271781844
17.12766917,17.2469078,17.36614642,-28.5,-221.7,2015.07271781844,2015.03835510086,2015.00399238617
17.36614642,17.47589239,17.58563836,-31.1,-242,2015.00399238617,2014.97102948943,2014.93787360725
17.58563836,17.69847224,17.81130612,-28.5,-221.1,2014.93787360725,2014.90378482175,2014.86969603625
17.81130612,17.91650839,18.02171065,-26.9,-207.3,2014.86969603625,2014.83791287311,2014.80612971299
18.02171065,18.12042865,18.21914664,-28.5,-221.5,2014.80612971299,2014.77630554381,2014.74648137764
18.21914664,18.32311209,18.42707754,-23.4,-180.6,2014.74648137764,2014.71507187613,2014.68366237462
18.42707754,18.52674046,18.62640338,-24.3,-188.1,2014.68366237462,2014.65355273112,2014.62344308761
18.62640338,18.70475299,18.78310259,-26.4,-205.6,2014.62344308761,2014.59977251057,2014.57610193656
18.78310259,18.87128859,18.95947459,-26.8,-209.1,2014.57610193656,2014.54945964048,2014.52281734441
18.95947459,19.05545414,19.15143368,-26.9,-209.2,2014.52281734441,2014.49382050151,2014.46482366163
19.15143368,19.24384784,19.33626199,-31.2,-243.8,2014.46482366163,2014.43690397583,2014.40898429305
19.33626199,19.43042096,19.52457992,-28.4,-221.3,2014.40898429305,2014.38053747432,2014.35209065861
19.52457992,19.6189036,19.71322727,-25.8,-200.1,2014.35209065861,2014.32359407855,2014.29509750151
19.71322727,19.7987216,19.88421593,-27.7,-217.6,2014.29509750151,2014.26926839879,2014.24343929607
19.88421593,19.9606293,20.03704266,-28.6,-224.4,2014.24343929607,2014.2203536858,2014.19726807855
20.03704266,20.09659158,20.15614051,-27.1,-210.7,2014.19726807855,2014.17927746828,2014.16128685499
20.15614051,20.24307064,20.33000077,-28.2,-219.7,2014.16128685499,2014.13502397583,2014.10876109668
20.33000077,20.40680228,20.48360379,-26.4,-203.3,2014.10876109668,2014.08555822356,2014.06235535045
20.48360379,20.52230189,20.561,-26.7,-206.3,2014.06235535045,2014.05066408157,2014.03897280967
20.561,20.64400313,20.72700625,-24.3,-187.1,2014.03897280967,2014.01389633535,2013.98664034296
20.72700625,20.81764689,20.90828753,-22.9,-177.7,2013.98664034296,2013.95391809025,2013.92119583754
20.90828753,21.00203567,21.09578382,-21.4,-163.9,2013.92119583754,2013.88735174368,2013.85350764621
21.09578382,21.19154634,21.28730885,-26.6,-205.1,2013.85350764621,2013.81893633935,2013.7843650361
