sample_name,Date_Melted,Date_Analyzed,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt
21,7-15-2022,04-07-2023,4.34528559964996,4.45411334221958,4.56294108478921,2018.66672411904,2018.64314619711,2018.619460384,2.55688,0.26261,3.66328,11.956287,342.84127,7.81883,0.57413,1.74027,0.59746,45.46208,128.201503030303,258.264633333333,46.4490515151515,117.291984848485,57.2980242424242,23.9471121212121,30.5666909090909,8.02746363636364,30.4127696969697,8.25369393939394,16.6142181818182,2.21715757575758,13.4031272727273,5.64426666666667,2.70112,2.07052,1.1312,126.36059,1110.59194,2.22983,1992.76012,5721.44661,6.42770161,3792.56397,49.60097,2.0625,12.23117,45.71177,1065.9527,1.79356,14.55356,45.86484,1837.29129,2.98098,4.21607,8.16718,4.36696,9.17138,11.51001,,,80.56637,206.50134
22,7-15-2022,04-07-2023,4.56294108478921,4.66563638069927,4.76833167660933,2018.619460384,2018.59701032425,2018.57446419008,5.96061,0.52262,5.85755,13.93196,1163.96018,8.83267,0.7987,1.622,1.14603,69.06248,336.032709090909,808.157287878788,110.04603030303,345.564439393939,111.731148484848,35.4286060606061,97.440996969697,15.9637060606061,83.8154696969697,22.2182454545455,35.0176606060606,5.40986666666667,35.3355151515152,5.09722727272727,2.13063,2.36105,1.29927,10.80335,1876.00501,1.26819,3688.94248,5034.7178,12.17547911,3970.96482,71.27278,3.24748,13.17242,52.84339,1386.50811,2.23678,14.45257,52.63451,1323.6172,3.31375,3.57159,10.55398,4.39201,11.41847,6.95886,,,61.37777,399.44075
23,7-15-2022,04-07-2023,4.76833167660933,4.85551301054117,4.94269434447301,2018.57446419008,2018.55524865283,2018.53596387613,137.71584,0.52262,81.65495,22.547042,2033.41365,45.21202,2.46419,10.36914,1.04291,233.03746,967.320345454545,2042.33139090909,251.800560606061,799.442466666667,194.820448484849,60.1974666666667,172.281524242424,24.449096969697,123.426333333333,24.3220606060606,61.8585696969697,6.74016363636364,47.9263303030303,7.37277272727273,9.62236,3.81873,2.0947,46.24764,2864.05505,1.11901,9103.1652,5506.3637,12.71211351,4952.16951,82.29758,6.52799,2459.3728,1067.87167,6111.92746,88.76287,5931.42085,755.42938,6669.28561,4.1219,88.89683,10.88216,8.49539,15.2007,119.5173,,,276.68344,1244.96911
24,7-15-2022,04-07-2023,4.94269434447301,5.03636258092126,5.13003081736951,2018.53596387613,2018.51516701784,2018.49429023296,22.52585,0.322620000000001,8.54125,12.656595,974.81447,10.78823,1.02051,4.45725,0.38703,76.2557,524.296812121212,1114.55631818182,136.127384848485,453.011106060606,121.042078787879,29.3598181818182,85.5426636363636,14.6875212121212,61.8864484848485,14.3122575757576,30.672403030303,5.23249393939394,28.8370303030303,5.37029090909091,2.31204,2.36071,1.30686,13.63446,1363.23999,0.49951,4743.50137,5154.96336,10.73940423,2543.758,76.52759,3.30486,87.57217,196.75863,1444.33612,8.63183,289.83491,115.4318,2804.297,3.31375,7.32137,8.22685,5.3849,10.04175,9.44113,,,102.27721,229.34473
25,7-15-2022,04-07-2023,5.13003081736951,5.22001540868475,5.31,2018.49429023296,2018.47415918567,2018.45395437465,10.86556,0.30262,153.71208,15.665356,831.05407,56.84506,1.17146,5.29761,0.85794,66.43749,242.195551515152,619.025666666667,91.4383666666667,275.605015151515,64.4602787878788,30.3439454545455,52.0800121212121,11.4938666666667,55.1673484848485,12.6439575757576,28.1163696969697,4.52300303030303,34.5232060606061,13.8471606060606,11.35969,3.65961,2.30719,17.53848,688.64253,0.46204,3291.90689,3269.42842,18.20914043,2722.15885,35.176,4.8341,3371.72223,1544.35315,6931.48371,124.8576,8547.78438,877.17801,3776.86973,3.11241,140.17691,8.94289,6.16474,10.97917,217.85359,,,205.47089,313.4121
26,7-19-2022,04-07-2023,5.31,5.37661928888599,5.44323857777197,2018.45395437465,2018.43894840287,2018.42390200083,15.98641,0.43595,8.19634,11.109938,693.08613,8.42671,29.80875,2.31136,0.478,63.11773,372.735339393939,745.364727272727,98.3999575757576,284.539339393939,78.7847848484849,21.3227727272727,74.7718363636364,11.2211151515152,52.3382545454546,10.9756575757576,29.3943878787879,3.72482727272727,25.5877878787879,5.00620303030303,9.3432,1.72012,1.1427,9.74361,202.07073,0.30894,2092.61887,3818.5232,11.86133192,3495.22921,50.8374,3.4246,26.27279,82.3165,2140.76427,2.3415,49.50432,119.49466,1413.12017,3.0425,9.77192,8.55504,4.05465,6.66779,17.46629,,,76.21646,453.39252
27,7-19-2022,04-07-2023,5.44323857777197,5.51961203905274,5.5959855003335,2018.42390200083,2018.40660281203,2018.3892504869,1.58691,0.44262,2.61567,10.003042,428.22429,8.34689,0.764480000000001,0.94519,0.40926,45.13192,218.648215151515,434.020206060606,59.9804515151515,198.953239393939,75.2036575757576,21.9788575757576,6.17510606060606,7.38891515151515,45.6191545454545,10.3610212121212,17.6366333333333,2.66059090909091,18.2769909090909,7.83152424242424,3.74915,1.72079,1.0899,6.04771,329.44834,0.486269999999999,2233.66472,4086.82479,14.32043475,2008.55544,48.81103,2.04005,14.24995,29.43391,1025.19219,1.6718,14.73536,57.86913,812.33627,3.00614,3.35815,7.86883,3.82177,6.74635,29.61716,,,50.9512,766.16811
28,7-19-2022,04-07-2023,5.5959855003335,5.6736776792576,5.7513698581817,2018.3892504869,2018.37154402388,2018.35378257371,6.26611,0.26261,17.8364,14.938238,4662.98244,9.70559,3.22019,0.737299999999999,1.3651,56.0755,1773.89289090909,2883.20831515152,600.566206060606,2238.58931212121,591.852793939394,131.28103030303,407.670239393939,68.0820090909091,318.449984848485,67.4651787878788,156.222224242424,18.2693909090909,136.878415151515,18.3864212121212,7.09884,2.94858,2.24,6.94077,518.46497,16.11064,4598.52569,6115.44036,6.90722996,3941.23134,132.68195,12.12607,22.55362,149.88553,12177.38368,3.78075,27.60247,121.00025,599.99113,3.44518,17.62823,10.58381,9.09176,9.26085,32.65001,,,49.36693,2610.64039
29,7-19-2022,04-07-2023,5.7513698581817,5.81768492909085,5.884,2018.35378257371,2018.33857858112,2018.32333452667,3.13429,0.24261,16.13006,9.649367,1039.95769,15.53049,0.41086,2.62126,0.39917,45.33459,267.677527272727,708.525448484849,95.7191363636364,336.043066666667,91.6768393939394,22.4709212121212,55.4965363636364,14.9602727272727,69.6664606060606,16.2457303030303,37.0624878787879,4.07957272727273,28.4308757575758,4.82416060606061,3.06396,1.9498,1.1386,7.96041,407.72543,0.39612,2125.53089,4683.36828,9.78178523,3078.96055,42.83497,2.66622,697.79617,260.10162,1878.83378,27.18525,1683.4991,188.94575,845.82491,2.92784,16.94486,8.13735,2.87219,7.07488,29.56717,,,73.92947,173.95114
30,7-19-2022,04-07-2023,5.884,6.01385727286736,6.14371454573472,2018.32333452667,2018.29336779311,2018.26324744257,12.01055,0.322620000000001,28.24492,126.470526,3418.32653,15.67314,0.758889999999999,8.58585,0.98916,89.90847,1144.77025757576,1923.24068181818,229.696687878788,855.955675757576,229.206427272727,56.2691575757576,196.650448484848,35.2150212121212,210.474045454545,38.9908060606061,95.8589303030303,14.9879939393939,93.8259484848485,13.3802181818182,26.47418,2.03217,1.51192,60.28692,805.56788,5.27858,5001.34245,4571.40579,15.23102798,9650.05864,51.31823,11.30033,87.42667,150.54525,2977.06902,4.49672,1767.0853,397.90885,5372.15818,3.28858,28.53257,10.94183,13.58529,8.77003,49.74028,,,388.69739,753.28881
