sample_name,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt,Date_Analyzed
21,4.42767779495584,4.5282868903545,4.62889598575315,2020.99165908377,2020.9624370166,2020.93321494944,2.2305,0.0741,1.9283,16.7996,635.1096,1.584,1.1567,0.2074,0.3743,14.4192,722.1071,1138.4936,237.84,664.0012,175.796,60.0592,240.0075,34.7493,142.9819,25.1698,66.4223,9.0061,54.5974,6.4226,2.2642,2.1063,0.6417,4.5195,14637.4205,0.3355,1503.6651,1678.6734,4.937,47213.6431,41.5731,1.2837,17.4669,35.2704,637.7555,1.5108,34.1572,18.0712,294.4686,0.2457,1.8186,1.0601,6.4059,6.5471,7.9821,,,43.6393,359.979,04-18-2023
22,4.62889598575315,4.7282121742557,4.82752836275825,2020.93321494944,2020.90436840909,2020.87552186873,3.221,0.0926,3.6695,25.3565,1007.5741,1.5787,0.5964,0.4935,0.7102,20.9091,1656.8101,3654.0631,462.5343,1596.968,411.5151,100.3796,440.6317,56.8002,243.207,47.2306,85.7702,13.3637,94.5223,9.8299,1.7755,2.0032,0.7541,9.7162,2512.5891,0.5284,1950.1094,5881.4708,8.557,6452.2902,56.116,2.6837,17.4336,60.8766,1242.2696,1.4164,14.7129,10.6512,385.0715,0.4717,1.7631,2.8998,3.4156,6.1045,14.7672,,,15.5141,842.9938,04-18-2023
23,4.82752836275825,4.92758671343499,5.02764506411174,2020.87552186873,2020.84645976622,2020.81739766372,11.3634,0.2964,12.7937,36.552,4345.7164,2.5859,1.5353,2.1159,2.7286,65.6912,4756.7717,10219.6387,1297.5551,4928.8903,1081.2773,309.0897,1201.7869,172.0202,1013.507,162.224,450.417,63.6071,383.6234,47.0474,2.1785,2.3154,0.8981,22.2093,5594.3104,4.5741,5429.3254,10750.5671,8.8721,24871.854,234.3287,9.4758,29.1859,115.0347,4630.5299,3.2684,25.9476,26.4778,281.7867,1.8277,2.4604,11.3185,6.4482,7.1393,5.6176,,,1047.3246,1858.4536,04-18-2023
24,5.02764506411174,5.10910339525029,5.19056172638885,2020.81739766372,2020.79373796562,2020.77007826751,2.8211,0.2376,2.8559,17.8118,800.0723,2.0634,2.9268,0.4935,0.3805,16.9259,1014.5319,2261.9089,340.5589,1271.9471,356.0762,84.4505,291.84,54.3528,215.3018,21.835,80.3528,14.1327,101.767,5.6364,2.3306,2.2395,0.6919,9.731,6784.6234,0.8628,1992.9057,8871.5751,9.3908,17126.7005,43.2641,1.4447,18.7993,42.5267,851.9943,1.2318,19.3785,27.7109,811.0307,0.3857,2.4517,2.3385,2.8653,6.2946,9.4079,,,249.22,691.1945,04-18-2023
25,5.19056172638885,5.29219572134599,5.39382971630312,2020.77007826751,2020.74055851669,2020.71103876587,4.1481,0.2532,3.5429,15.7448,556.5345,16.6156,1.4661,6.031,0.4946,22.7259,543.1254,1055.8271,182.2718,665.8337,209.4673,52.5925,196.7474,30.1214,136.7727,24.1437,54.0396,6.9554,30.4079,6.9468,2.6906,1.9864,0.6301,24.0472,1537.3059,0.9373,1231.5211,4678.2942,8.1071,3076.1976,45.0115,4.1529,21.3883,46.5295,717.4012,1.5215,27.5417,83.1482,451.6154,0.2899,3.2587,1.559,4.5459,4.5895,9.6059,,,150.0862,1879.1049,04-18-2023
26,5.39382971630312,5.48930317656773,5.58477663683234,2020.71103876587,2020.68330835187,2020.65557793786,2.6878,0.1297,1.6595,16.2686,728.4512,1.6702,1.1142,0.483,0.442,16.3662,756.9602,1595.0777,266.3729,824.7925,211.448,73.9971,284.8921,22.7711,171.9099,34.9176,102.0225,14.389,79.9964,5.8985,1.8546,1.9808,0.7463,8.4864,1315.7963,1.0664,2136.6942,3911.4677,16.6601,3721.6271,46.7026,1.4671,14.3223,49.9925,594.8785,1.2275,15.2884,21.2454,167.4462,0.3267,1.4611,1.8397,2.4002,6.7133,13.5146,,,42.0452,355.3828,04-18-2023
27,5.58477663683234,5.67738831841617,5.77,2020.65557793786,2020.6286787319,2020.60177952593,10.0299,0.352,11.5379,24.8799,3121.2381,2.7559,0.8055,0.9352,1.8908,44.1099,3277.0469,5801.0926,812.3478,2992.8841,722.5787,234.8454,828.0708,114.5355,691.8281,129.8562,307.931,52.0722,302.5643,42.0703,2.3291,2.0641,0.7342,9.6406,1849.6321,3.9069,4841.9024,11514.6036,7.5059,13303.7721,149.7994,7.6665,22.0037,81.4324,4577.6576,2.1804,31.5167,45.4947,391.3683,1.442,4.6123,7.9822,2.6723,5.3348,8.1186,,,117.9184,1801.1476,04-18-2023
28,5.77,5.90722374744317,6.04444749488633,2020.60177952593,2020.56192267653,2020.52206582712,3.9299,0.1667,4.9065,11.4235,1649.5716,2.2031,0.5614,0.6207,0.5911,23.5322,1756.1358,3780.4254,506.597,2073.827,516.53,116.8064,738.1286,64.9672,394.087,72.3774,164.7098,22.3353,142.8892,24.772,5.47,2.1332,0.6841,11.1087,2976.4369,1.1126,2064.8851,8964.0811,12.2301,13849.9048,55.8623,2.1559,18.8924,145.9988,14824.5467,6.2471,45.449,69.2571,351.4266,0.4176,3.3183,3.3987,2.3588,4.4679,6.4018,,,82.2445,668.8548,04-18-2023
29,6.04444749488633,6.13752571606653,6.23060393724672,2020.52206582712,2020.49503111401,2020.4679964009,10.4937,0.4261,12.2559,25.6219,3414.3471,1.584,1.1619,0.5041,2.021,68.7524,4163.131,8943.6146,1114.3812,4133.782,952.4944,317.542,968.2726,143.6916,789.088,147.5818,377.6223,52.5823,335.2081,38.3983,2.1435,2.4932,0.8011,10.0609,4153.2663,1.8089,5416.4276,8132.3722,13.0437,21247.5194,284.127,8.7467,23.0004,152.7572,4510.1741,4.5947,26.1513,29.135,307.3569,1.6729,2.4046,8.98,2.6831,7.6761,4.0363,,,41.5159,503.227,04-18-2023
30,6.23060393724672,6.31454001179175,6.39847608633678,2020.4679964009,2020.4436170384,2020.4192376759,6.0055,0.3396,11.3362,13.8863,1402.5698,1.8361,0.6284,0.7833,0.8493,26.0519,2027.4547,4297.8634,543.2249,2026.7049,468.9742,163.115,511.4931,62.5253,338.2973,51.0836,104.3442,20.0283,124.7471,16.6444,2.2956,2.2929,0.6437,10.1416,3439.5194,0.8264,2355.1009,9155.8875,11.0019,14693.9279,82.1861,3.017,29.1168,94.191,1590.0105,2.5216,50.3024,45.9503,326.9117,0.5675,7.3894,4.1158,2.3152,5.0283,8.7464,,,69.6734,567.9796,04-18-2023
