Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
1201,104.57,104.64,104.61,1942.32,1942.21,1942.27,4.53,12.84,33.39,79.21,70.8625,6.6,0.25,3.28,3.98,57.49,23.744,20.095,9.757,11.038,0.659,36.584,1.019,2.852,0.3,4.243,9.953,3.482,6.511,5.855,83.469,2.992,1.943,1.782,9.74,1.386,12.8,0.5,0.09,38.28
1202,104.64,104.71,104.68,1942.21,1942.11,1942.16,0.69,12.91,5.55,30.81,29.4225,7.13,0.02,2.79,1.43,12.77,58.4,5.83,7.41,8,1.27,35.6,1.57,4.9,0.45,6.43,9.66,11.58,5.18,4.6,106.25,2.66,1.37,5.72,6.68,1.71,18.63,0.63,0.06,49.56
1203,104.71,104.79,104.75,1942.11,1942,1942.05,0.65,3.78,9.07,17.76,15.4925,2.12,0.05,0.97,0.43,3.84,14.63,24.13,6.98,6.17,0.6,11.46,0.61,1.66,0.16,2.52,5.24,2.91,2.15,5,31.86,1.04,0.57,2.33,7.09,0.63,18.3,0.5,0.03,38.29
1204,104.79,104.86,104.82,1942,1941.87,1941.93,1.08,5.59,10.17,21.97,19.4275,3.26,0,0.72,0.52,3.36,13.28,4.5,7.31,8.18,0.67,17.54,0.37,1.06,0.12,3.11,6,2.64,2.69,2.39,51.39,1.43,1.06,3.36,7.31,0.75,21.49,1.02,0.08,61.79
1205,104.86,104.94,104.9,1941.87,1941.74,1941.81,5.05,6.42,76.39,103.79,84.6925,0.62,13.78,2.75,0.61,4.71,28.78,18.2,9.13,8.29,0.96,42.29,1.11,3.58,0.36,6.52,26.2,4.44,6.74,3.33,116.06,2.87,2.06,1.36,9.75,2.34,21.12,0.77,0.14,70.91
1206,104.94,105.01,104.97,1941.74,1941.62,1941.68,13.22,2.47,26.78,56.26,49.565,0.66,9.41,2.23,0.21,2.06,14.28,11.23,8.48,8.93,0.39,24.13,0.87,3.04,0.33,4,15.25,3.29,7.48,8.45,84.46,2.81,1.22,1.14,8.54,2.02,19.91,0.98,0.09,88.09
1207,105.01,105.08,105.04,1941.62,1941.5,1941.56,6.39,11.95,61.86,126.08,110.615,2.88,19.9,3.51,2.34,16.41,95.91,22.91,18.13,17.72,1.62,98.02,2.88,8.49,0.82,9.52,35.69,15.23,13.57,12.71,315.01,5.65,5.03,3.68,16.6,5.58,25.01,1.2,0.2,104.19
1208,105.08,105.15,105.12,1941.5,1941.37,1941.44,5.33,7.35,24.68,74.49,68.32,3.79,0.07,1.64,2.22,27.18,132.85,27.64,24.21,24.49,3.03,219.97,6.66,20.62,1.83,35.14,23.23,20.02,40.87,32.66,447.88,21.98,8.58,5.01,24.89,8.89,17.36,1.49,0.32,116.66
1209,105.15,105.23,105.19,1941.37,1941.25,1941.31,3.35,8.14,16.53,56.81,52.6775,3.67,0.17,2.35,2.37,19.25,100.22,20.1,15.54,15.42,1.97,110.23,3.54,10.9,0.98,16.73,17.24,16.31,18.03,14.48,240.81,9.38,4.85,4.96,14.25,4.33,29.93,1.43,0.29,147.58
1210,105.23,105.31,105.27,1941.25,1941.1,1941.17,0.98,12.04,0.32,59.16,59.08,6.26,0.03,2.12,2.2,14.41,76.54,12.92,5.94,6.12,1.51,47.59,1.62,5.21,0.46,8.58,17.43,13.73,8.62,6.26,134.87,3.98,2.5,5.43,11.28,2.76,13.57,1.13,0.08,50.86
1211,105.31,105.39,105.35,1941.1,1940.98,1941.04,0.61,10.69,6.64,18.48,16.82,5.42,0.02,0.36,0.78,2.93,13.72,2.65,3.24,4.4,0.31,9.41,0.25,0.75,0.08,1.81,5.47,1.84,2.06,0.82,36.11,0.75,1.26,4.56,5.69,0.54,5.91,0.63,0.03,40.6
1212,105.39,105.45,105.42,1940.98,1940.89,1940.94,1.09,5.58,6.45,17.6,15.9875,2.16,0.02,0.57,0.42,2.11,13.83,2.99,3.34,4.12,0.44,47.75,0.55,1.57,0.17,5.32,6.92,1.7,5.67,3.59,90.16,2.77,2.27,2.37,8.34,1.01,8.36,0.63,0.02,31.13
1213,105.45,105.53,105.49,1940.89,1940.76,1940.83,3.59,7.87,17.15,59.28,54.9925,1.55,0.29,1.52,0.53,3.67,20.08,9.33,5.21,5.24,0.31,19.2,0.43,1.27,0.14,2.82,17.23,2.72,3.38,1.81,43.32,1.38,0.68,1.92,6.58,1.28,12.77,0.79,0.1,19.68
1214,105.53,105.62,105.58,1940.76,1940.63,1940.7,2.71,13.28,12.18,58.5,55.455,3.18,0.12,1.41,0.79,3.69,26.91,12.29,11.8,12.14,2.13,247.2,0.87,2.36,0.23,55.56,20.64,3.3,2.05,1.06,25.81,0.81,5.53,4.65,14.43,8.6,16.6,0.89,0.09,105.86
1215,105.62,105.68,105.65,1940.63,1940.54,1940.58,3.33,6.19,7.91,74.08,72.1025,0.47,0.03,0.8,0.19,1.5,6.57,5.89,3.16,4.29,0.15,2.99,0.21,0.53,0.08,1.1,18.38,3.89,0.72,0.31,8.31,0.24,0.06,0.73,6.67,0.19,9.15,0.63,0.01,76.2
1216,105.68,105.77,105.73,1940.54,1940.4,1940.47,12.98,1.57,15.89,88.89,84.9175,0.11,0.42,0.38,0.1,1.04,4.56,5.3,2.7,3.19,0.31,7.8,0.23,0.7,0.08,1.49,20.4,2.2,1.31,3.09,10.54,0.46,0.47,0.35,5.11,0.44,24.53,0.73,0.01,17.21
1217,105.77,105.84,105.81,1940.4,1940.3,1940.35,9.33,6.38,77.98,90.21,70.715,1.07,16.89,1.82,1,7.25,34.49,14.72,8.27,9.24,0.83,56.66,1.36,3.92,0.4,6.34,25.09,6.43,10.63,5.77,188.62,4.18,4.11,2.08,8.72,2.64,19.45,1.09,0.1,55.38
1218,105.84,105.9,105.87,1940.3,1940.21,1940.25,5.75,7.04,30.43,93.91,86.3025,3.16,4.51,1.96,2.39,19.15,92.82,21.07,11.04,12.97,1.92,105.17,2.88,8.31,0.76,13.19,27.73,16.31,19.77,16.11,246.97,8.46,5.59,4.07,15.41,4.85,24.58,2.39,0.31,78.5
1219,105.9,105.98,105.94,1940.21,1940.1,1940.15,1.99,9.77,15.55,36.6,32.7125,5.62,0.08,1.85,0.96,5.37,28.63,4.77,4.63,5.88,0.62,20.31,0.55,1.51,0.14,3.17,10.54,3.93,3.05,10.18,51.12,1.39,1.33,4.2,8.48,1.03,13.45,1.23,0.05,42.79
1220,105.98,106.05,106.01,1940.1,1939.99,1940.04,0.78,8.31,5.76,28.51,27.07,4.76,0.02,1.3,0.6,1.59,11.4,5.47,3.03,4.11,0.26,21.3,0.18,0.49,0.06,2.67,8.94,1.55,2.75,3.45,38.81,1.21,2.15,4.77,7.1,0.91,9.43,0.57,0.07,82.29
1221,106.05,106.11,106.08,1939.99,1939.91,1939.95,0.79,9.75,11.77,30.19,27.2475,5.54,0.01,1.87,0.75,2.51,10.21,3.81,3.01,2.94,0.22,11.79,0.27,0.71,0.09,2.11,8.47,1.32,3.08,11.04,27.34,0.98,0.53,5.14,8.01,0.51,8.44,0.48,0.04,34.46
1222,106.11,106.19,106.15,1939.91,1939.79,1939.85,1.73,12.54,19.99,103.85,98.8525,5.8,0.6,3.39,2.07,8.91,55.13,14.58,5.92,5.64,0.93,37.41,1.32,3.64,0.32,6.86,29.41,8.8,9.79,4.72,120.39,3.42,2.9,5.57,11.27,1.96,4.88,0.49,0.1,23.37
1223,106.19,106.27,106.23,1939.79,1939.68,1939.74,4.68,5.76,23.41,91.21,85.3575,1.81,0.37,2.12,2.02,5.77,144.52,9.21,5.64,6.88,0.34,52.54,1.32,3.82,0.41,4.24,28.05,16.72,25.61,2.04,169.66,6.4,4.44,6.88,28.02,1.04,8.44,0.81,0.07,18.23
1224,106.27,106.32,106.29,1939.68,1939.6,1939.64,6.7,3.27,23.82,46,40.045,1.31,0.05,1.8,0.97,2.22,75.74,9.04,3.08,3.52,0.24,38.22,0.74,2.34,0.28,3.37,15.43,8.42,19.89,1.63,119.67,5.11,2.38,4.6,18.01,1.27,9.96,0.45,0.03,45.66
1225,106.32,106.41,106.37,1939.6,1939.48,1939.54,13.55,3.08,17.14,38.45,34.165,1.33,0.03,1.16,0.1,1.45,11.06,4.18,2.17,2.52,0.12,6.48,0.24,0.68,0.08,1.4,10.05,1.11,2.12,5.98,16.41,0.8,0.43,0.74,7.76,0.15,10.15,0.43,0.01,62.35
1226,106.41,106.49,106.45,1939.48,1939.37,1939.43,10.08,7.66,46.48,149.59,137.97,1.25,3.19,2.53,0.68,2.75,33.74,14.59,5.54,5.89,0.3,18.92,1.22,3.66,0.38,2.57,37.2,3.94,7.67,2.79,92.75,1.85,2.01,3.09,10.79,1.92,9.11,0.5,0.06,99.92
1227,106.49,106.57,106.53,1939.37,1939.26,1939.32,2.65,27.97,37.96,168.75,159.26,6.77,5.71,2.84,3.68,15.65,112.46,38.26,6.52,7.36,1.51,95.49,3.47,10.13,0.93,10.81,50.83,16.67,20.5,14.16,241.45,6.83,4.97,9.11,18.07,5.3,18.62,2.67,0.63,101.05
1228,106.57,106.65,106.61,1939.26,1939.15,1939.2,2.22,11.15,11.29,42.06,39.2375,5.64,0.03,1.3,1.46,7.34,34.84,8.57,7.51,8.83,0.63,26.3,0.93,2.72,0.25,4.71,11.77,5.02,5.45,3.88,67.53,2.39,1.4,5.39,7.27,1.21,14.57,0.8,0.07,20.33
1229,106.65,106.74,106.69,1939.15,1939.01,1939.08,0.83,16.91,4.56,45.44,44.3,9.05,0,1.03,1.37,3.74,23.86,5.23,5.96,6.77,0.59,13.23,0.38,1.22,0.13,2.9,13.01,2.62,2.83,1.53,34.42,1.24,0.6,8.34,5.39,0.91,26.77,2.25,0.08,5.57
1230,106.74,106.78,106.76,1939.01,1938.96,1938.99,0.66,5.43,0,32.16,32.16,2.44,0.01,0.77,0.5,2.6,9.33,14.72,4.4,5.11,0.39,6.63,0.19,0.57,0.08,2.25,8.71,1.38,1.44,1.66,19.81,0.57,0.7,2.62,5.49,0.42,21.94,0.47,0.12,51.94
1231,106.78,106.85,106.82,1938.96,1938.89,1938.92,1.09,8.67,5.69,26.92,25.4975,3.54,0.01,0.52,0.53,4.36,6.79,8.63,3.47,3.87,0.27,6.14,0.19,0.55,0.07,1.69,7.41,0.87,1.46,0.93,15.04,0.39,0.41,3.27,4.78,0.34,12.65,0.43,0.07,34.79
1232,106.85,106.95,106.9,1938.89,1938.78,1938.83,2.63,8.27,4.51,21.82,20.6925,4.36,0.02,0.73,0.56,1.11,4.24,2.55,2.55,2.64,0.15,5.65,0.18,0.53,0.06,1.13,6.11,0.37,1.48,0.19,10.28,0.22,0.11,3.91,4.08,0.27,7.78,0.46,0.02,15.22
1233,106.95,106.97,106.96,1938.78,1938.75,1938.76,4.88,3.7,14.11,38.78,35.2525,1.36,2.83,2.18,0.56,2.43,10.55,7.13,3.23,3.34,0.24,11.1,0.37,1.19,0.14,1.88,10.36,5.56,1.46,0.62,21.9,0.64,0.54,1.96,5.74,0.82,8.27,0.56,0.05,63.81
1234,106.97,107.08,107.02,1938.75,1938.63,1938.69,7.46,1.54,5.14,24.99,23.705,0.81,0.04,1.33,0.11,2.13,10.29,3.93,2.69,2.17,0.25,8.18,0.26,0.78,0.08,2.49,7.42,1.44,2.41,2.6,70.12,1.13,1.7,1.42,5.82,0.7,6.74,0.66,0.11,15.05
1235,107.08,107.15,107.11,1938.63,1938.55,1938.59,7.67,3.59,21.5,52.62,47.245,0.66,0.06,1.14,0.26,1.86,8.67,5.16,2.15,2.39,0.16,3.78,0.33,0.96,0.1,1.21,12.66,1.1,1.4,0.81,19.19,0.38,0.36,0.94,4.79,0.22,5.99,0.5,0.03,13.99
1236,107.15,107.21,107.18,1938.55,1938.47,1938.51,2.29,3.41,15.53,71.49,67.6075,0.35,0.05,1.03,0.09,1.57,6.06,7.66,2.5,2.31,0.16,2.96,0.31,0.98,0.11,1.13,13.49,0.65,1.11,8.95,24.89,0.74,2.04,0.72,4.23,0.35,4.62,0.46,0.04,82.52
1237,107.21,107.31,107.26,1938.47,1938.37,1938.42,3.58,2.2,24.65,60.34,54.1775,0.25,0.06,1.14,0.12,1.15,3.44,10.5,2.85,2.23,0.16,2.14,0.3,1,0.12,1.06,14.32,0.21,0.82,17.09,30.6,1.09,3.71,0.5,3.66,0.49,6.23,0.74,0.05,151.99
1238,107.31,107.35,107.33,1938.37,1938.31,1938.34,3.39,6.61,46.45,55.03,43.4175,1.21,0.12,3.06,0.12,1.73,9.88,11.4,8.5,9,0.86,56.57,0.68,1.91,0.21,6.16,15.86,1.11,5.21,11.63,109.64,3,1.51,2.27,7.16,2.17,9.55,0.86,0.21,77.43
1239,107.35,107.46,107.41,1938.31,1938.19,1938.25,4.56,5.84,36.16,98.26,89.22,0.93,0.06,3.55,0.92,4.96,34.23,15.83,7.43,7.37,0.64,36.46,1.14,3.17,0.31,4.56,24.79,5.01,6.44,13.62,99.8,2.58,2.84,2.97,8.55,2.39,12.39,1,0.5,72.99
1240,107.46,107.52,107.49,1938.19,1938.12,1938.15,3.83,6.17,25.82,72.93,66.475,1.79,2.63,2.09,2.8,15.74,77.24,16.3,11.54,12.61,1.72,82.25,3.37,10.13,0.9,10.06,20.89,12.6,16.87,13.15,239.24,7.24,4.67,2.93,11.69,3.4,11.72,0.83,0.33,28.97
1241,107.52,107.6,107.56,1938.12,1938.03,1938.07,2.64,35.8,22.91,111.4,105.6725,7.47,2.08,1.21,3.6,19.82,106.61,43.49,24.97,22.42,5.31,116.67,3.57,10.04,0.93,18.46,31.74,16.77,23.32,15.29,332.45,8.37,6.71,8.1,14.78,4.72,10.15,0.81,0.79,55.08
1242,107.6,107.67,107.63,1938.03,1937.92,1937.97,2.55,4.31,3.46,25.82,24.955,2.81,0.1,1.13,0.6,4.93,25.46,16.08,6.5,8.06,1.19,21.92,0.72,1.94,0.21,5.94,7.58,4.69,4.27,2.98,58.36,1.71,1.28,3.09,5.42,1.05,9.66,0.65,0.11,162.77
1243,107.67,107.74,107.7,1937.92,1937.78,1937.85,8.39,5,11.64,52.99,50.08,1.78,0.09,1.14,0.38,2.25,19.51,10.4,5.99,6.13,1.04,29.24,5.74,20.23,2.16,2.83,14.07,3.35,4.17,2.87,44.07,1.5,1.11,2.35,6.24,0.72,8.02,0.44,0.05,20.65
1244,107.74,107.8,107.77,1937.78,1937.66,1937.72,7.25,11.9,43.1,53.74,42.965,0.88,0.07,1.12,0.59,3.64,19.58,12.8,6.08,7.41,0.99,21.81,2.12,6.2,0.61,5.61,14.03,3.24,3.98,2.05,63.47,1.84,1.49,1.42,6.43,1.09,10.5,0.57,0.14,22.24
1245,107.8,107.88,107.84,1937.66,1937.52,1937.59,4.67,2.59,17.13,31.01,26.7275,0.18,0.05,0.55,0.12,1.59,7.69,4.9,3.77,4.06,0.67,11.8,0.86,2.8,0.32,4.02,8.56,1.22,2.15,3.12,21.04,1.01,0.43,0.96,7.54,0.48,9.37,0.4,0.04,72.11
1246,107.88,107.95,107.91,1937.52,1937.38,1937.45,8.95,4.55,38.6,57.02,47.37,0.87,0.05,2.26,0.42,2.09,6.94,10.89,3.47,4.93,0.39,13.47,1.01,3.02,0.3,3.1,14.95,1.03,2.19,2.47,27.19,1.05,1.17,1.73,6.8,1.4,7.93,0.67,0.13,73.45
1247,107.95,108.03,107.99,1937.38,1937.23,1937.31,4.77,6.11,63.95,59.74,43.7525,2.2,0.62,3.87,0.9,7.04,36.92,20.98,8.69,10.48,1.1,47.02,3.1,10.3,1.02,6.8,16.74,5.84,8.31,5.77,152.11,3.5,2.23,2.12,8.45,2.92,11.54,1.38,0.13,61.2
1248,108.03,108.09,108.06,1937.23,1937.12,1937.17,6.57,11.78,31.57,80.07,72.1775,6.15,0.01,2.28,5.35,44.63,239.86,47.38,21.96,23.34,4.69,223.21,9.9,31.05,2.8,32,26.35,35.41,43.99,37.21,550.2,21.62,11.64,8.62,33.38,10.72,27.25,2.12,0.59,118.13
1249,108.09,108.16,108.12,1937.12,1936.97,1937.04,1.66,5.46,12.57,31.36,28.2175,2.72,1.33,0.45,1.03,5.45,45.58,6.85,5.13,5.42,0.55,23.26,1.27,3.75,0.34,3.65,8.92,6.55,3.18,8.14,66.8,1.61,1.07,2.97,8.53,1.84,5.09,0.42,0.06,31.49
1250,108.16,108.27,108.21,1936.97,1936.72,1936.85,10.73,4.64,15.85,44.63,40.6675,2.47,4.15,0.35,0.31,2.18,18.84,7.73,4.46,4.93,0.22,11.31,0.38,1.05,0.11,1.67,10.35,1.68,1.23,2.98,20.99,0.63,0.51,2.01,7.11,0.4,9.8,0.49,0.04,58.49
1251,108.27,108.28,108.28,1936.72,1936.68,1936.7,12.95,2.2,15.97,57.23,53.2375,1.02,5.98,0.47,0.33,2.24,16.62,6.63,8.73,9.67,2.31,22.4,0.69,1.95,0.21,7.13,14.42,2.85,3.94,3.28,55.59,2.32,0.9,0.96,7.56,1.23,6.83,0.45,0.18,45.15
1252,108.32,108.4,108.36,1936.59,1936.41,1936.5,12.44,12.07,81.21,87.22,66.9175,1.31,8.68,3.21,1.75,8.74,34.08,9.15,5.73,6.22,0.09,5.58,0.54,0.84,0.11,1.74,1.13,7.34,9.53,1.62,30.21,0.09,0.34,1.84,4.09,0.65,16.65,1.36,0.1,177.26
1253,108.4,108.47,108.44,1936.41,1936.26,1936.33,3.54,21.94,135.34,183.75,149.915,1.6,55.56,5.95,2.51,13.53,57.01,18.57,6.94,7.7,2.01,178.61,3.37,10.47,1,13.33,31.19,11.83,18.26,21.8,751.96,8.68,6.83,3.46,34.83,3.8,15.92,1.41,0.1,107.58
1254,108.47,108.52,108.5,1936.26,1936.14,1936.2,7.12,9.72,42.91,91.73,81.0025,3.96,26.8,3.17,3.39,20.72,22.58,11.44,6.34,7.02,2.07,139.62,2.68,8.22,0.74,11.9,22.65,12.34,15.05,16.9,463.25,7.41,5.45,5.36,29.13,2.89,11.56,0.66,0.14,57.68
1255,108.52,108.56,108.54,1936.14,1936.06,1936.1,2.94,31.04,27.39,61.94,55.0925,13.67,3.23,0.97,3.12,15.76,95.18,29.41,9.42,10.47,2.14,100.63,1.99,5.97,0.49,10.47,14.11,12.85,11.84,12,174.54,6.14,4.07,7.26,23.43,1.99,6.89,0.39,0.16,38.12
1256,108.56,108.59,108.57,1936.06,1936,1936.03,1.37,11.23,10.9,33.56,30.835,4.92,1.34,0.57,1.44,6.25,28.53,16.25,3.95,4.38,1.02,50.3,1.13,3.52,0.27,5.04,7.34,3.33,6.25,6.51,76.06,2.68,1.92,4.59,6.7,1.11,8.71,0.65,0.1,52.36
1257,108.59,108.64,108.61,1936,1935.9,1935.95,1.87,10.99,17.31,48.67,44.3425,4.82,3.64,1.18,1.74,5.43,30.79,27.87,16.4,17.04,0.86,35.56,0.42,1.5,0.11,6.91,12.22,3.18,7.22,6.49,77.09,2.29,1.45,2.18,9.86,1.27,9.18,0.74,0.16,60.18
1258,108.64,108.7,108.67,1935.9,1935.8,1935.85,2.94,6.27,49.18,51.04,38.745,0.83,5.01,0.64,0.57,4.47,17.36,20.66,4.18,4.87,0.35,15.42,0.34,1.05,0.09,3.42,6.54,1.51,3.91,3.65,32.67,0.95,0.94,2.14,3.4,0.82,5.66,0.33,0.25,50.58
1259,108.7,108.76,108.73,1935.8,1935.7,1935.75,5.09,3.17,26.5,29.44,22.815,0.58,1.9,0.45,0.4,1.61,7.23,11.89,2.81,2.24,0.21,8.09,0.11,0.36,0.03,3.5,6.53,0.48,1.04,4.09,14.44,0.41,0.73,1.97,8.48,0.21,9.09,0.62,0.09,55.73
1260,108.76,108.81,108.78,1935.7,1935.61,1935.66,9.27,7.64,31.27,53.76,45.9425,2.53,6.64,1.19,1.3,3.5,24.17,27.57,7.55,6.86,0.67,29.44,0.63,1.86,0.16,7.2,12.4,2.51,4.85,5.81,73.84,2.41,1.89,3.46,6.27,0.91,9.63,0.76,0.29,68.53
1261,108.81,108.85,108.83,1935.61,1935.55,1935.58,12.55,8.7,78.63,63.86,44.2025,2.86,6.35,2.53,0.84,3.1,11.17,27.46,4.75,4.57,0.56,14.75,0.21,0.66,0.05,6.64,11.42,1.38,2.11,18.36,37.33,1.37,0.92,3.64,8.6,2.23,7.79,0.73,0.18,83.53
1262,108.85,108.9,108.87,1935.55,1935.46,1935.5,7.87,5.69,59.86,91.72,76.755,0.99,15.57,1.85,0.44,1.94,15.04,42.92,6.16,6.69,0.46,18.96,0.58,2.03,0.21,5.03,16.97,1.4,2.12,2.38,59.96,1.01,1.1,1.58,4.08,1.5,10.1,0.86,0.17,112.15
1263,108.9,108.95,108.92,1935.46,1935.36,1935.41,8.1,5.06,60.66,68.49,53.325,0.15,18.22,1.36,0.28,1.2,13.07,22.52,5.35,6.52,0.53,23.12,0.47,1.52,0.13,6.67,12.9,1.06,3.28,3.77,45.67,1.68,1.06,2.23,8.39,0.8,10.93,0.85,0.18,110.84
1264,108.95,109.01,108.98,1935.36,1935.27,1935.31,5.36,4.49,41.72,48.13,37.7,0.62,7.03,0.8,0.5,2.86,50.74,33.96,15.31,15.91,1.79,99.69,1.87,5.43,0.46,10.5,16.4,5.38,12.33,10.6,207.33,5.25,4.21,2.87,23.86,2.32,9.99,0.7,0.3,71.93
1265,109.01,109.05,109.03,1935.27,1935.18,1935.22,3.75,9.66,34.08,119.21,110.69,4.39,7.28,1.95,3.11,22.41,195.08,56.33,30.75,31.89,4.63,190.77,6.22,19.56,1.72,26.94,27.29,22.06,27.98,23.33,399.38,16.36,8.18,6.67,38.27,4.86,16.02,1.42,0.22,88.77
1266,109.05,109.11,109.08,1935.18,1935.09,1935.14,1.58,12.26,19.46,50.08,45.215,5.61,3.43,1.25,1.91,15.84,36.46,27.44,9.03,8.17,1.36,38.72,0.97,3.11,0.26,9,8.27,5.29,5.05,5.17,101.5,2.8,1.7,3.76,9.33,1.01,13.48,1.09,0.14,89.01
1267,109.11,109.15,109.13,1935.09,1935.02,1935.06,0.68,8.77,14.82,24.57,20.865,4.33,0.97,0.89,0.62,4.5,22.82,18.29,4.79,4.05,1,56.64,0.58,1.77,0.17,7.5,4.25,2.05,2.99,7.72,44.81,1.32,1.05,5.66,12,1.24,8.68,0.49,0.11,77.84
1268,109.15,109.19,109.17,1935.02,1934.95,1934.99,0.47,17.22,1.08,12.98,12.71,8.67,0.13,0.86,0.99,1.97,7.82,16.62,4.21,5.2,0.12,7.57,0.1,0.28,0.03,5.31,2.39,0.46,0.87,5.9,20.28,0.72,1.04,3.05,2.94,0.23,6.56,0.3,0.19,43.32
1269,109.19,109.23,109.21,1934.95,1934.9,1934.92,0.75,4.64,9.68,15.58,13.16,1.31,0.74,0.53,0.43,1.69,12.67,9.98,7.78,7.18,0.49,14.73,0.26,0.79,0.07,7.19,5.56,1.17,3.24,30.37,34.56,1.63,1.13,4,3.43,1.04,19.63,0.32,0.08,64.16
1270,109.23,109.26,109.25,1934.9,1934.84,1934.87,2.35,10.9,9.81,26.97,24.5175,4.96,0.33,0.75,0.83,2.82,29.96,6.534,6.21,5.7,0.72,43.88,0.54,1.79,0.15,8.18,8.35,2.82,6.14,23.38,77.94,2.93,1.85,2.13,11.78,1.1,28.78,0.41,0.12,91.44
1271,109.27,109.31,109.29,1934.83,1934.77,1934.8,4.24,4.58,18.55,40.96,36.3225,1.26,0.53,0.65,0.66,3.67,27.3,10.227,6.12,6.36,0.65,23.85,0.52,1.69,0.14,9.33,9.68,5.12,4.51,19.02,57.06,1.89,1.7,3.45,7.24,1.77,10.7,0.56,0.14,89.36
1272,109.31,109.37,109.34,1934.77,1934.69,1934.73,7.73,4.52,27.42,66.33,59.475,1.21,0.32,0.76,0.89,5.65,25.72,20.12,8.54,9.65,0.5,28.77,0.66,2.04,0.18,9.13,12.44,3.34,4.74,4.43,64.05,1.85,1.41,1.8,5.73,0.76,23.51,0.64,0.13,109.51
1273,109.37,109.41,109.39,1934.69,1934.61,1934.65,6.88,5.15,21.4,92.32,86.97,0.69,0.21,0.66,0.55,3.34,18.82,18.78,14.04,15.86,0.41,17.21,0.33,0.94,0.08,7.43,14.66,2.13,3.14,3.31,39.35,1.02,1.17,3.74,5.84,1.49,9.79,0.56,0.09,94.23
1274,109.41,109.46,109.44,1934.61,1934.55,1934.58,7.07,2.03,7.93,30.54,28.5575,0.13,0.08,0.36,0.22,1.18,5.16,9.63,3.45,3.39,0.13,4.04,0.1,0.31,0.03,6.08,8.25,0.69,0.45,2.13,10.83,0.15,0.47,1.28,6.32,0.15,6.7,0.45,0.04,46.67
1275,109.46,109.5,109.48,1934.55,1934.48,1934.51,5.25,3.68,45.68,55.39,43.97,0.27,7.24,1.44,0.55,1.97,22.15,15.38,8.36,9.16,1.12,79.06,1.73,5.4,0.49,9.31,17.12,2.74,4.09,10.11,178.72,1.53,0.93,1.6,15.55,2.88,9.66,0.68,0.31,66.54
1276,109.5,109.55,109.53,1934.48,1934.41,1934.44,2.03,3.99,53.37,62.53,49.1875,0.18,44.72,2.21,0.44,1.85,14.49,21.14,8.89,9.98,0.41,55.05,0.74,2.21,0.2,8.47,13.28,1.04,2.6,2.69,58.96,1,1.29,1.45,13.4,1.8,12.22,2.15,0.1,102.17
1277,109.55,109.59,109.57,1934.41,1934.34,1934.37,3.21,7.5,66.26,80.52,63.955,0.96,9.13,1.31,0.68,1.96,51.04,21.28,13.24,11.3,0.75,104.8,1.27,3.65,0.36,10.27,16.22,3.72,12.24,7.34,130.11,4.55,2.5,2.84,20.06,2.44,12.6,1.71,0.28,114.93
1278,109.59,109.64,109.62,1934.34,1934.27,1934.31,4.52,5.19,57.12,79.63,65.35,1.14,11.8,1.74,1.45,5.48,53.28,25.84,14.36,15.57,1.15,75.47,1.47,4.8,0.45,12.83,16.18,5.7,8.77,18.9,149.91,4.27,3.87,1.8,11.75,1.85,12.01,1.23,0.14,89.32
1279,109.64,109.68,109.66,1934.27,1934.21,1934.24,3.01,9.73,69.53,102.72,85.3375,2.25,24.67,3.1,3.03,18.47,114.26,45.61,35.12,37.13,1.78,120.74,3.24,10.09,0.86,16.78,23.51,11.1,16.15,13.22,241.94,8,4.89,2.92,31.1,3.48,16.03,1.77,0.34,103.8
1280,109.68,109.72,109.7,1934.21,1934.15,1934.18,6.57,11.96,52,83.2,70.2,5.91,8.46,2.71,4.78,26.65,83.14,39.86,21.06,24.47,4.08,204.42,7.58,25.63,2.02,35.5,23.33,25.27,36.85,31.36,473.48,21.73,10.26,6.1,33.37,5.63,18.94,2.05,0.57,112.48
1281,109.72,109.76,109.74,1934.15,1934.08,1934.11,2.97,16.4,33.62,104.18,95.775,7.92,2.36,2.03,5.55,30.08,83.14,34.11,28.62,26.83,2.86,155.29,4.16,13.21,1.16,24.49,21.99,19.54,25.52,22.45,324.3,14.41,7.2,6.72,34.02,3.91,15.36,1.03,0.39,62.24
