Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
28,5.32,5.38,5.35,2012.45,2012.43,2012.44,0.48,17.85,84.48,81.18,60.06,5.33,0.1,1.44,0.12,6.75,20.49,16.94,2.81,3.51,0.25,27.58,0.6,1.36,0.18,3.26,15.12,6.71,2.36,6.5,51.19,1.33,1.87,4.6,9.97,2.78,             NaN,2.35,1.06,             NaN
29,5.38,5.5,5.44,2012.43,2012.41,2012.42,0.75,19.91,62.3,61.69,46.115,8.34,0.06,2.59,0.33,8.69,20.35,14.01,4.11,4.88,0.43,30.48,0.55,1.3,0.16,4.81,11.89,5.38,3.05,6.48,81.24,1.42,2.62,5.37,12.16,2.96,             NaN,3.2,0.75,             NaN
30,5.5,5.61,5.55,2012.41,2012.38,2012.4,1.01,21.98,40.12,42.19,32.16,11.34,0.03,3.74,0.54,10.62,20.21,11.09,5.41,6.25,0.6,33.37,0.5,1.23,0.15,6.36,8.65,4.05,3.73,6.46,111.3,1.51,3.37,6.15,14.34,3.13,             NaN,3.94,0.44,             NaN
31,5.61,5.7,5.66,2012.38,2012.36,2012.37,0.68,20.22,99.05,56.34,31.5775,7.58,0.05,3.95,0.59,14.54,35.13,30.6,10.23,9.37,1.71,89.89,2.28,5.31,0.6,11.78,12.17,5.97,12.38,11.57,229.94,5.83,6.31,2.29,17.74,3.21,             NaN,2.85,0.57,             NaN
32,5.7,5.8,5.75,2012.36,2012.34,2012.35,0.54,14.54,11.91,48.93,45.9525,8.33,0.03,4.1,0.3,10.68,24.74,12.26,7.72,7.29,0.92,41.51,0.72,1.57,0.19,13.3,11.28,9.8,7.86,8.56,91.74,3.88,2.61,2.79,13.77,2.76,             NaN,1.64,0.39,             NaN
33,5.8,5.83,5.82,2012.34,2012.34,2012.34,0.94,33.22,76.12,80.7,61.67,17.96,0.4,7.03,1.5,25.46,61.89,20.99,7.12,7.77,0.98,65.79,1.52,3.33,0.38,9.62,14.11,6.22,9.72,23.35,136.66,3.87,3.71,4.41,21.57,3.51,             NaN,2.23,0.77,             NaN
34,5.83,5.99,5.91,2012.34,2012.3,2012.32,4.78,7.4,34.21,119.25,110.6975,3.45,20.9,1.56,0.88,11.3,55.69,35.63,5.88,6.64,1.32,89.91,3.51,8.25,0.98,9.02,16.05,7.86,12.67,15.12,202.56,5.36,5.12,3.8,23.96,3.04,             NaN,2.17,1.09,             NaN
35,5.99,6.1,6.04,2012.3,2012.28,2012.29,3.89,5.53,10.91,89.05,86.3225,2.86,0.16,0.28,0.64,7.64,45.19,23.66,4.57,4.12,0.97,73.85,1.71,4.2,0.51,6.56,12.65,10.83,9.64,9.85,162.15,4.33,4.76,1.75,16.32,1.64,             NaN,2,0.64,             NaN
36,6.1,6.2,6.15,2012.28,2012.26,2012.27,1.85,17.62,48,108.81,96.81,9.05,10.56,2.17,1.34,15.51,107.48,106.86,10.63,9.63,3.22,125.16,4.48,9.9,1.14,13.11,18.61,12.78,17.41,17.11,343.01,8.22,5.92,4.71,27.2,3.8,             NaN,3.61,1.54,             NaN
37,6.2,6.29,6.24,2012.26,2012.24,2012.25,0.98,50.04,218.8,222.18,167.48,15.02,27.6,3.13,8.3,84.71,480.9,125.91,15.79,14.98,7.64,346.03,16.44,42.1,4.59,40.94,47.33,67.34,65.32,58.13,1079.05,27.53,16.85,18.1,62.75,11.96,             NaN,3.79,1.99,             NaN
38,6.29,6.37,6.33,2012.24,2012.22,2012.23,1.48,51.17,135.01,202.81,169.0575,19.3,0.03,3.15,7.84,105.93,778.19,144.95,20.95,20.32,10,398.97,16.76,43.19,4.88,54.93,48.37,75.52,81.33,72.01,1135.36,33.93,19.94,18.22,79.51,13.48,             NaN,5.17,2.44,             NaN
39,6.37,6.45,6.41,2012.22,2012.2,2012.21,0.55,37.65,33.6,117.48,109.08,23.83,0.35,2.39,3.59,21.89,132.17,42.35,13.29,14.98,3.39,98.91,3.15,7.44,0.84,16.32,23.05,16.07,16.67,15.62,329.8,8.11,6.47,20.72,22.07,4.47,             NaN,2.85,1.15,             NaN
40,6.45,6.53,6.49,2012.2,2012.19,2012.19,0.85,11.85,39.56,123.92,114.03,9.73,8.28,1.2,1.95,17.5,110.43,59.75,15.31,16.67,3.34,101.22,3.96,9.65,1.02,16.85,23.04,18.28,16.12,18.55,320.63,7.91,5.39,11.4,21.79,4.22,             NaN,2.93,2.03,             NaN
41,6.53,6.61,6.57,2012.19,2012.17,2012.18,0.77,12.03,0.23,65.08,65.0225,9.82,0,0.49,0.79,9.76,77.93,22.53,5.92,4.81,1.54,59.63,2.34,6.2,0.67,7.93,10.84,7.31,7.64,8.76,135.72,3.98,2.94,15.73,17.8,3.31,             NaN,1.46,0.83,             NaN
42,6.61,6.7,6.65,2012.17,2012.15,2012.16,0.63,8.78,3.45,34.8,33.9375,3.47,0,0.31,0.34,8.15,20.41,11.17,2.53,2.86,0.98,27.55,0.83,2.23,0.26,3.78,6.36,5.12,3.6,5.13,77.21,1.76,2.1,3.04,9.54,1.14,             NaN,1.18,0.33,             NaN
43,6.7,6.78,6.74,2012.15,2012.13,2012.14,0.78,19.34,66.28,84.11,67.54,9.4,0.13,1,0.73,7.21,43.6,25.65,6.02,5.72,2.31,105.29,1.87,4.77,0.53,15.03,16.35,6.8,10.36,25.82,226.64,5.33,7.55,8.7,13.66,3.15,             NaN,1.59,1.91,             NaN
44,6.78,6.86,6.82,2012.13,2012.12,2012.12,3.17,30.01,28.16,56.72,49.68,18.63,0.13,4.15,0.78,6.03,19.19,13.04,3.95,4.03,0.77,27.58,0.56,1.25,0.16,4.67,9.18,2.43,3.32,6.63,56.43,1.34,1.71,8.8,8.13,1.8,             NaN,1.11,0.39,             NaN
45,6.86,6.94,6.9,2012.12,2012.1,2012.11,2.02,38.68,13.69,69.99,66.5675,22.84,0,1.71,1.85,5.41,31.18,24.14,5.63,5.33,1.02,119.83,0.46,1.31,0.18,4.89,13.21,4.84,4.95,5.55,68.42,1.48,2.09,18.09,7.09,2.3,             NaN,1.86,0.63,             NaN
46,6.94,7.01,6.97,2012.1,2012.08,2012.09,1.82,48.44,33.98,55.43,46.935,31.75,0,6.41,1.79,10.76,47.19,22.12,4.17,3.9,1.74,53.2,1.85,4.04,0.49,8.27,11.77,6.94,7.91,18.75,130.32,3.16,3.5,27.71,22.03,8.03,             NaN,3.53,0.55,             NaN
47,7.01,7.09,7.05,2012.08,2012.07,2012.08,2.79,65.05,80.39,100.21,80.1125,39.86,8.27,14.84,1.73,23.65,82.38,21.06,5.95,5.72,4.03,95.74,2.28,4.72,0.66,15.43,17.66,13.96,12.54,40.27,286.62,6.82,6.09,20.17,15.29,9,             NaN,2.92,0.62,             NaN
48,7.09,7.19,7.14,2012.07,2012.05,2012.06,6.58,35.44,44,88.06,77.06,27.4,11.13,10.7,0.98,10.96,43.94,20,7.74,7.55,2.17,70.4,1.16,2.7,0.34,10.59,12.51,7.02,7.86,8.33,154.2,8.53,3.44,8.44,13.26,4.47,             NaN,2.42,0.68,             NaN
49,7.19,7.28,7.23,2012.05,2012.03,2012.04,3.25,18.48,28.28,95.18,88.11,14.2,0.07,6.12,0.53,9.21,37,51.76,12.31,14.72,4.08,69.73,9.97,25.18,3.05,27.76,14.77,6.76,19.05,12.07,194.04,8.73,3.5,7.09,17.18,3.15,             NaN,2.42,2.12,             NaN
50,7.28,7.35,7.31,2012.03,2012.01,2012.02,0.82,18.79,25.04,105.47,99.21,11.2,0.03,3.63,0.69,11.93,37.12,31.42,5.15,6.25,2.34,61.49,1.35,3.11,0.39,19.2,14.7,5.5,11.04,9.33,150.25,5.69,2.89,7.12,13.01,3.28,             NaN,1.83,0.66,             NaN
