Top Depth,Bot Depth,Mid Depth,MSA,Chloride,Nitrate,Sulfate,Sodium,Ammonium,Potassium,Magnesium,Calcium,Sr88(LR),Cd111(LR),Cs133(LR),Ba137(LR),La139(LR),Ce140(LR),Pr141(LR),Pb208(LR),Bi209(LR),U238(LR),As75(LR),Li7(LR),Al27(MR),S32(MR),Ca44(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Cu63(MR),Zn66(MR),As75(HR),K39(HR),Na23(MR),Mg24(MR),Cu No Volcs
10.12640671,10.2238775,10.17514211,0.66,12.36,108.94,95.09,4.11,23.58,3.12,3.31,20.98,80.267,2.904,3.493,179.468,5.374,14.604,1.51,39.742,0.842,1998.543,17.58,32.634,20.382,21.968,11.549,614.857,24.615,17.123,284.788,8.873,6.88,48.302,615.196,19.714,6.804,5.478,13.047,48.302
10.2238775,10.32006654,10.27197202,1.33,9.52,41.44,40.42,7.73,15.07,4.83,2.3,14.17,74.592,2.775,3.731,174.369,6.057,17.452,1.682,38.79,0.843,2172.163,12.692,39.878,18.276,10.868,10.821,369.957,17.767,14.503,219.326,6.506,4.406,34.621,777.039,13.893,7.205,6.007,12.276,34.621
10.32006654,10.40106543,10.36056598,3.13,28.26,73.61,91.23,13.56,17.86,4.35,4.39,19.21,134.469,3.289,5.14,173.308,7.417,15.984,1.888,67.5,1.293,2635.659,19.376,21.11,24.232,28.087,18.729,774.177,28.517,21.892,397.712,11.614,7.18,59.83,539.703,19.539,7.188,17.632,16.254,59.83
10.40106543,10.49041616,10.44574079,3.43,12.22,37.49,69.56,9.07,12.76,3.56,2.42,12.99,74.478,2.065,2.735,140.564,4.081,10.849,1.113,32,0.558,3025.394,9.975,31.724,18.852,10.947,11.135,478.342,15.965,16.216,239.262,5.962,4.381,40.355,523.533,10.559,4.586,7.241,10.199,40.355
10.49041616,10.57440465,10.5324104,2.96,34.21,56.7,102.81,23.93,13.84,6.99,6.04,43.79,104.417,2.322,3.439,140.034,4.761,10.115,1.216,46.355,0.783,3257.142,13.317,22.34,21.83,19.556,15.089,680.452,21.34,19.91,328.455,8.516,5.768,52.96,404.866,13.382,4.577,13.053,12.188,52.96
10.57440465,10.66347389,10.61893927,0.7,7.57,25.18,33.33,3.82,10.04,1.29,1.03,4.84,74.365,1.354,1.739,106.76,2.106,4.246,0.545,25.211,0.273,3878.624,7.258,23.57,19.427,11.026,11.449,586.726,14.164,17.929,259.198,5.417,4.356,46.09,270.028,7.226,1.967,8.475,8.122,46.09
10.66347389,10.75713969,10.71030679,1.87,11.4,31.31,59.62,7.88,13.88,2,1.33,5.38,96.477,5.101,15.318,449.217,5.514,11.878,1.357,59.664,0.932,3612.454,14.792,65.951,35.16,28.101,17.047,2194.508,35.799,14.866,665.114,18.905,4.925,47.144,453.372,13.601,16.305,20.301,10.097,47.144
10.75713969,10.86007189,10.80860579,1.94,7.68,39.44,77.07,6.79,24.34,3.62,1.57,8.85,36.145,6.363,1.045,76.522,1.076,2.376,0.288,24.561,0.236,1142.151,8.05,18.112,11.667,11.225,8.751,383.464,8.889,13.875,191.649,3.974,3.445,37.325,253.346,8.684,5.314,7.601,11.733,37.325
10.86007189,10.96396708,10.91201948,2.24,3.96,18.09,39.03,1.26,0.05,0.12,0.14,2.24,22.723,1.881,1.44,66.877,1.006,2.064,0.251,24.212,0.346,1957.389,8.591,8.534,8.213,13.369,4.547,306.501,11.95,9.822,88.373,3.009,4.082,41.327,501.878,8.746,1.497,3.004,4.514,41.327
10.96396708,11.05681219,11.01038964,1.51,6.24,51.8,80.28,0.29,10.47,0.33,0.12,2.06,22.432,1.203,2.431,142.53,1.286,2.905,0.307,15.723,0.291,2342.543,9.338,9.058,11.547,7.916,3.098,426.673,5.985,8.049,84.428,2.723,2.534,28.561,236.663,8.163,2.941,3.412,6.75,28.561
